# 现代常用多音字读音表，用于手写反查时的读音标注。
# 数据来源：https://github.com/mapull/chinese-dictionary (MIT License) character/polyphone.json
# 仅保留字符与读音，U+0261 已规范化为普通 g。格式：汉字<TAB>读音1,读音2,...
丁	dīng,zhēng
椲	wěi,huī
椵	jiǎ,jiā
椷	jiān,hán
椹	zhēn,shèn
椻	yàn,yà
楂	zhā,chá
楇	guō,kuǎ
楖	jí,zhì
楛	hù,kǔ
楤	cōng,sǒng
楥	xuàn,yuán
楧	yǎng,yàng,yīng
楪	dié,yè
楯	dùn,shūn
楱	còu,zòu
楴	dì,dǐ,shì
楷	kǎi,jiē
楺	róu,ròu
楽	lè,yuè
榅	wēn,yùn
榌	bī,pi
榐	zhǎn,niǎn,zhèn
榑	fú,fù,bó
榗	jiàn,jìn
榜	bǎng,bàng
榝	shā,xiè
榪	mà,mā
槏	qiǎn,lián,xiàn
槙	diān,zhěn,zhēn
槛	jiàn,kǎn
槟	bīn,bīng
槢	xí,dié
槣	jī,guī
槦	róng,yōng
槫	tuán,shuàn,quán
槭	qì,sè
槯	cuī,zhǐ
槱	yǒu,chǎo
槾	màn,wàn
樆	lí,chī
樏	léi,lěi
樔	cháo,jiǎo,chāo
樛	jiū,liáo
模	mó,mú
樢	niǎo,mù
横	héng,hèng
橃	fá,fèi
橏	zhǎn,jiǎn
橔	tuí,dūn
橖	táng,chēng
橚	sù,qiū
橝	tán,diàn
橧	zēng,céng
橨	fén,fèn,fèi
橫	héng,hèng
橻	cū,chu
橾	shū,qiāo
檽	nòu,ruǎn,rú
櫎	huǎng,guǒ,gǔ
櫑	léi,lěi
櫖	lǜ,chū
櫗	miè,mèi
櫭	jué,jì
櫰	huái,guī
欥	yù,yì
欦	qiān,xiān
欪	chù,qù,xì
欬	kài,ài
欭	yì,yīn
欯	xì,kài
欶	shuò,sòu
欸	ǎi,ēi
欻	chuā,xū
欼	chǐ,chuài
歁	kǎn,kè
歂	chuǎn,chuán
歅	yān,yīn
歏	jìn,qūn
歙	xī,shè
正	zhèng,zhēng
歭	zhì,chí
歰	sè,shà
歾	mò,wěn
殕	fǒu,bó
殖	zhí,shi
殙	hūn,mèi
殨	kuì,huì
殷	yīn,yān,yǐn
殸	qìng,kēng,shēng
殽	xiáo,yáo,xiào
毒	dú,dài
毥	xún,xùn
毸	sāi,suī
氏	shì,zhī
氐	dī,dǐ
氓	méng,máng
氜	yáng,rì
氶	zhěng,chéng,zhèng
氿	guǐ,jiǔ
汃	pā,pà
汋	zhuó,què
汗	hàn,hán
汤	tāng,shāng
汥	zhī,jì
汩	gǔ,yù
汵	gàn,hán,cén
汶	wèn,mén
汸	fāng,pāng
汻	hǔ,huǎng
汼	niú,yóu
沈	shěn,chén
沑	nǜ,niǔ
沒	méi,mò
沓	tà,dá
沕	mì,wù
沗	hóng,pāng
沙	shā,shà
沝	zhuǐ,zǐ
没	méi,mò
沤	òu,ōu
沮	jǔ,jù
沰	tuō,duó
沲	tuó,duò
沵	mǐ,lì
沶	yí,chí
泄	xiè,yì
泆	yì,dié
泊	bó,pō
泌	mì,bì
泍	bēn,bèn
泏	chù,shè
泑	yōu,yòu,āo
泙	pēng,píng
泡	pào,pāo
泥	ní,nì
泧	yuè,sà
泬	jué,xuè
泷	lóng,shuāng
泺	luò,pō
泽	zé,shì
洑	fú,fù
洒	sǎ,xǐ
洓	sè,qì,zì
洗	xǐ,xiǎn
洘	kǎo,kào
洝	àn,yàn,è
洡	lěi,lèi
洬	sù,shuò
洯	qiè,jié
浅	qiǎn,jiān
浆	jiāng,jiàng
浍	kuài,huì
济	jì,jǐ
浒	hǔ,xǔ
浚	jùn,xùn
浟	yōu,dí
浧	yǐng,chéng,yíng
浲	féng,hóng
浻	jiǒng,jiōng
浽	suī,něi
涌	yǒng,chōng
涒	tūn,yūn
涡	wō,guō
涨	zhǎng,zhàng
涭	shòu,tāo
涳	kōng,náng
涴	wǎn,wò,yuān
涶	tuō,tuò
涼	liáng,liàng
淁	qiè,jí
淉	guǒ,guàn
淋	lín,lìn
淌	tǎng,chǎng
淖	nào,chuò,zhuō
淜	píng,péng
淢	yù,xù
淰	niǎn,shěn
淲	biāo,hǔ
淳	chún,zhūn
混	hùn,hún
渂	wèn,mín
渃	ruò,rè,luò
済	jì,jǐ
渎	dú,dòu
渐	jiàn,jiān
渑	miǎn,shéng
渜	nuǎn,nuán
渞	qiú,wù
渟	tíng,tīng
渠	qú,jù
渦	wō,guō
渧	tí,dī,dì
港	gǎng,jiǎng
湏	huì,mǐn,xū
湑	xū,xǔ
湣	mǐn,hūn
湪	tuàn,nuǎn
湫	qiū,jiǎo
湬	qiū,jiǎo
湮	yān,yīn
湴	bàn,pán
湷	zhuāng,hún
溃	kuì,huì
溄	féng,hóng
溅	jiàn,jiān
溎	yàn,guì
溓	lián,liǎn,nián,xián,xiàn
溜	liū,liù
溱	zhēn,qín
溺	nì,niào
滀	chù,xù
滃	wēng,wěng
滈	hào,xuè
滊	qì,xì,xiē
滜	zé,hào
漂	piāo,piǎo,piào
漎	cóng,sǒng
漙	tuán,zhuān
漚	òu,ōu
漨	féng,péng
漯	luò,tà
漰	bēn,pēng
漲	zhǎng,zhàng
漴	chóng,zhuàng
漻	liáo,liú
潎	pì,piē
潐	jiào,qiáo
潒	dàng,xiàng
潢	huáng,guāng
潦	lǎo,lào,liáo
潨	cōng,zòng
潪	zhí,zhì
潬	tān,shàn
潳	tú,zhā
澄	chéng,dèng
澊	cūn,cún
澍	shù,zhù
澑	liū,liù
澫	wàn,màn
澭	yōng,yǒng
澹	dàn,tán
濄	guō,wō
濆	fén,pēn
濈	jí,shà
濊	huì,huò
濎	dǐng,tìng
濔	mǐ,nǐ
濢	cuì,zuǐ
濩	huò,hù
濬	jùn,xùn
濭	ǎi,kài,kè
濻	wěi,duì
瀎	miè,mò
瀑	pù,bào
瀤	huái,wāi
瀳	jiàn,zùn
灂	zhuó,jiào,zé
灥	xún,quán,quàn
灬	huǒ,biāo
灹	zhà,yù
炃	fén,bèn
炅	jiǒng,guì
炐	pàng,fēng
炤	zhào,zhāo
炪	zhuō,chù
炮	páo,bāo,pào
炰	páo,fǒu
炶	shǎn,qián,shān
炸	zhà,zhá
為	wéi,wèi
烄	jiǎo,yào
烊	yáng,yàng
烔	tóng,dòng
烙	lào,luò
烠	huí,huǐ
烰	fú,páo
烲	xiè,chè
焄	xūn,hūn
焣	chǎo,jù
焥	wò,ài
焧	zǒng,cōng
焬	xī,yì
焯	zhuō,chāo
焸	xiǒng,yīng
焽	xiǒng,yīng
煇	huī,yùn,xūn
煔	shǎn,qián,shān
煕	xī,yí
煞	shā,shà
煠	yè,zhá
煴	yūn,yùn
煾	ēn,yūn
熅	yūn,yǔn
熇	hè,kào
熏	xūn,xùn
熜	cōng,zǒng
熝	lù,āo
熟	shóu,shú
熢	péng,fēng
熣	suī,cuǐ
熨	yùn,yù
熬	āo,áo
熰	ōu,ǒu
熿	huáng,huǎng
燀	chǎn,dǎn,chàn
燎	liáo,liǎo
燑	tóng,dòng
燕	yàn,yān
燤	tài,liè
爉	là,liè
爎	liáo,liǎo
爦	lǎn,làn
爪	zhǎo,zhuǎ
爫	zhǎo,zhuǎ
爯	chēng,chèn
父	fù,fǔ
片	piàn,piān
牑	biān,miàn
牗	yǒu,yōng
牚	chēng,chèng
牞	jiū,lè
牟	móu,mù
牫	gē,qiú
牰	yòu,chōu
犆	zhí,tè
犍	jiān,qián
犮	quǎn,bá
犳	zhuó,bào
犴	hān,àn
犺	kàng,gǎng
犻	pèi,fèi
犿	huān,fān
狋	yí,quán,chí
狌	shēng,xīng
狏	tuó,yí
狢	hé,mò
狧	tà,shì
狪	tóng,dòng
狵	máng,dòu
狶	xī,shǐ
猈	bài,pí
猏	jiān,yàn
猗	yī,yǐ
猚	yá,wèi
猫	māo,máo
猭	chuàn,chuān
猯	tuān,tuàn
猲	hè,xiē
猵	biān,piàn
猼	bó,pò
獋	háo,gāo
獖	fén,fèn
獜	lín,lìn
獟	yào,xiāo
獡	shuò,xī
獦	gé,liè,xiē
獱	biān,piàn
獳	nòu,rú
獶	náo,nǎo,yōu
獿	náo,yōu
王	wáng,wàng
玚	chàng,yáng
玟	mín,wén
玡	yá,yà
玢	bīn,fēn
玧	mén,yǔn
玪	jiān,qián
玱	qiāng,cāng
玵	án,gān
玹	xuán,xián
玼	cī,cǐ
珆	yí,tāi
珇	zǔ,jù
珢	yín,kèn
珲	hún,huī
琁	xuán,qióng
琈	fú,fū
琕	pín,bǐng
琗	cuì,sè
琟	wéi,yù
琠	tiǎn,tiàn
琢	zhuó,zuó
琣	běng,pěi
琿	hún,huī
瑎	xié,jiē
瑩	yíng,yǐng
瑸	bīn,pián
瑹	tú,shū
璚	qióng,jué
璷	lú,fū
瓕	mí,xǐ
瓗	qióng,wěi,wèi
瓟	bó,páo
瓡	zhí,hú
瓦	wǎ,wà
瓨	xiáng,hóng
瓹	juàn,juān
甚	shèn,shén
甯	níng,nìng
甸	diàn,tián,shèng
町	tǐng,dīng
甼	tǐng,dīng
甾	zāi,zī
畁	bì,qí
畐	fú,bì
畗	dá,fú
畜	xù,chù
畟	cè,jì
畨	fān,pān
番	fān,pān
畬	shē,yú
畺	jiāng,jiàng
疆	jiāng,qiáng
疋	pǐ,yǎ,shū
疑	yí,nǐ
疙	gē,yì
疟	nüè,yào
疠	lì,lài
疦	jué,xuè
疨	yǎ,xiā
疺	fá,biǎn
疿	fèi,féi
症	zhèng,zhēng
痋	téng,chóng
痑	tān,shǐ
痡	pū,pù
痭	bēng,péng
痱	fèi,féi
痳	má,lìn
痶	tiǎn,diàn
痷	ān,yè,è
痾	kē,ē
瘅	dàn,dān
瘈	chì,zhì
瘕	jiǎ,xiá,xiā
瘣	huì,lěi
瘥	chài,cuó
瘨	diān,chēn
瘩	dá,da
瘪	biē,biě
癐	guì,wēi
癑	nòng,nóng
癷	bō,bǒ
皀	jí,bī
的	dí,dì,de
皅	pā,bà
皋	gāo,háo
皐	gāo,yáo
皪	lì,luò,bō
皻	zhā,cǔ
监	jiān,jiàn
盳	máng,wàng
盷	xián,tián
相	xiāng,xiàng
盻	xì,pǎn
省	shěng,xǐng
眃	yún,hùn
看	kàn,kān
眏	yāng,yǎng,yìng
眑	yǎo,āo,ǎo
眗	jū,xū,kōu
眙	yí,chì
眣	dié,tì
眪	bǐng,fǎng
眫	pàng,pán
眯	mī,mí
眴	xuàn,shùn,xún
着	zháo,zhuó,zhāo
睉	cuó,zhuài
睢	huī,suī
睪	yì,zé,gāo
睲	xǐng,xìng
瞇	mī,mí
瞉	kòu,jì
瞏	qióng,huán
瞒	mán,mén
瞗	diāo,dōu
瞜	lóu,lǘ,lou
瞢	méng,měng
矃	nǐng,chēng
矆	huò,yuè
矌	kuàng,guō
矒	méng,měng
矕	mǎn,mán
矜	jīn,qín,guān
矝	jīn,guān
矞	yù,xù,jué
知	zhī,zhì
矦	hóu,hòu
石	shí,dàn
砉	xū,huā
砌	qì,qiè
砏	pīn,bīn,fēn
研	yán,yàn
砩	fú,fèi
砫	zhù,zhǔ
砬	lì,lā,lá
硍	kèn,xiàn,gǔn,yǐn
硙	wèi,ái,gài
硞	què,kè,kù
硥	mǎng,bàng
硦	luò,lòng
硧	yǒng,tóng
硻	kēng,kěng
硽	yān,yǎn
硾	zhuì,chuí,duǒ
碂	zòng,cóng
碊	jiān,zhàn
碌	lù,liù
碖	lún,lǔn,lùn
碙	náo,gāng
碣	jié,yà
碮	tí,dī
碴	chá,chā
碻	què,qiāo
碿	sù,xiè
磂	liú,liù
磃	sī,tí
磅	bàng,páng
磆	huá,kě,gū
磍	xiá,qià,yà
磏	lián,qiān
磑	wèi,ái,gài
磖	lá,lā
磝	áo,qiāo
磞	pēng,pèng
磤	yīn,yǐn
磥	lěi,léi
磨	mó,mò
磩	qì,zhú
礉	hé,qiāo,qiào
礊	kè,huò
礐	què,hú
礘	è,qì
礥	xián,xín
礧	léi,lěi,lèi
礹	yán,yǎn
祇	zhǐ,qí
祊	bēng,fāng
祕	mì,bì
祱	shuì,lèi
禁	jīn,jìn
禅	chán,shàn
禉	yǒu,chǎo
禓	shāng,yáng
禨	jī,jì
禺	yú,yù,ǒu
秄	zǐ,zì
秅	chá,ná
秇	yì,zhí
种	zhǒng,zhòng,chóng
秏	hào,mào
秘	mì,bì
秙	kù,kū
秜	ní,nì
秮	huó,kuò
称	chēng,chèn,chèng
秿	fù,pū
稄	xùn,zè
稌	tú,shǔ
稍	shāo,shào
稕	zhùn,zhǔn
稘	jī,qí
稜	lēng,líng
稡	zuì,zú,sū
稧	xì,qiè
稫	pì,bì
稯	zōng,zǒng
稰	xǔ,xū
稴	xián,jiān,liàn
稵	zī,jiū
稽	jī,qǐ
穇	cǎn,shān,cēn
穈	mén,méi
穳	cuán,zàn
空	kōng,kòng,kǒng
穻	yū,yǔ
窋	zhú,kū
窐	wā,guī
窨	yìn,xūn
窫	yà,yē
窴	tián,diān,yǎn
窼	chāo,kē
窽	kuǎn,cuàn
竀	chēng,chèng
竐	chù,qì
竘	qǔ,kǒu
竧	jìng,zhěn
竺	zhú,dǔ
竻	lè,jīn
笍	zhuì,ruì
笐	háng,hàng
笒	cén,jìn,hán
笚	dā,xiá,nà
笮	zuó,zé
笼	lóng,lǒng
筊	jiǎo,jiào
筑	zhù,zhú
答	dá,dā
筠	yún,jūn
筤	láng,làng
筫	zhì,zhǐ
箁	póu,bù,fú,pú
箄	pái,bēi
箈	tái,chí
箉	guǎi,dài
箌	zhào,dào
箐	qìng,jīng
箖	lín,lǐn
箢	wǎn,yuān
箷	shī,yí
箹	yuē,yào,chuò
箾	shuò,xiāo,qiào
篣	péng,páng
篧	zhuó,huò
篬	qiāng,cāng
篭	lóng,lǒng
篯	jiǎn,jiān
篴	zhú,dí
篹	zhuàn,zuàn,suǎn
簛	shāi,sī
簨	sǔn,zhuàn
簳	gǎn,gàn
簸	bò,bǒ
簿	bù,bó
籈	zhēn,jiān
籓	fān,pān,biān
籔	sǒu,shǔ
粆	shā,chǎo
粇	kāng,jīng
粘	zhān,nián
粢	zī,cí
粣	cè,sè
粥	zhōu,yù
粰	fū,fú
糁	sǎn,shēn
糄	biān,biǎn
糊	hū,hú,hù
糓	gǔ,gòu
糣	sǎn,shēn
糸	mì,sī
糺	jiū,jiǔ
系	xì,jì
糽	zhēng,zhěng
紁	chà,chǎ
紋	wén,wèn
紒	jì,jié,jiè
紥	zhā,zā
紨	fū,fù
紬	chōu,chóu
紮	zhā,zā
累	léi,lěi,lèi
紴	bō,bì
紶	qū,qǔ
紾	zhěn,tiǎn
絔	bǎi,mò
絙	huán,gēng
絜	jié,xié
絟	quán,shuān
絠	gǎi,ǎi
絡	luò,lào
絣	bēng,bīng,pēng
絧	tōng,tóng,dòng
絩	tiào,diào,dào
絫	lěi,lèi,léi
絯	gāi,hài
絺	chī,zhǐ
綄	huán,huàn,wàn
綅	qīn,xiān
綖	yán,xiàn
綟	lì,liè
綧	zhǔn,zhùn
綨	jī,qí
綮	qìng,qǐ
綽	chuò,chāo
緂	tián,tǎn,chān
緛	ruǎn,ruàn
緟	chóng,zhòng
緢	miáo,máo
緤	xiè,yè
緪	gēng,gèng
緵	zōng,zòng
緷	gǔn,yùn
緺	guā,wō
縅	oǔ,wēi
縍	bāng,bàng
縎	gǔ,hú
縒	cī,cuò,suǒ
縕	yùn,yūn,wēn
縙	róng,rǒng,ròng
縡	zài,zēng
縣	xiàn,xuán
縳	zhuàn,juàn
縸	mù,mò
繃	bēng,bèng
繌	zōng,zòng
繛	chuō,chuò
繫	xì,jì
繵	dàn,tán,chán
纚	lí,xǐ,lǐ,sǎ
红	hóng,gōng
纤	xiān,qiàn
纥	hé,gē
约	yuē,yāo
纪	jì,jǐ
纰	pī,pí
纵	zòng,zǒng
纶	lún,guān
纹	wén,wèn
织	zhī,zhì
结	jié,jiē
给	gěi,jǐ
络	luò,lào
绨	tí,tì
绰	chuò,chāo
绷	bēng,běng,bèng
综	zōng,zèng
绿	lǜ,lù
缉	jī,qī
缊	yùn,yūn,wēn
缋	huì,huí
缏	biàn,pián
缝	féng,fèng
缞	cuī,suī,shuāi
缥	piǎo,piāo
缩	suō,sù
缪	móu,miù,miào,mù,liǎo
缯	zēng,zèng
缲	qiāo,sāo
缴	jiǎo,zhuó
罢	bà,bBpí
罫	guǎi,guà
羊	yáng,xiáng
羏	yáng,xiáng
羙	měi,gāo
羛	yì,xī
羫	qiāng,kòng
羬	qián,xián,yán
羾	hóng,gòng
翍	pī,bì,pō
翑	qú,yù
翘	qiáo,qiào
翟	dí,zhái
翢	dào,zhōu
翵	hóu,qú
耆	qí,shì
耙	bà,pá
耛	sì,chí
耝	qù,chú
耣	lún,lǔn
耤	jí,jiè
耫	zhá,zé
耶	yé,yē
耺	yún,yíng
聉	wà,tuǐ,zhuó
聏	ér,nǜ
聑	tiē,zhé
聜	dǐ,zhì
聻	nǐ,jiàn
肋	lèi,lē
肑	bó,dí
肖	xiāo,xiào
肚	dù,dǔ
肜	róng,chēn
肣	qín,hán,hàn
肨	pàng,pán,pàn
肫	zhūn,chún
肶	pí,bǐ,bì
胇	fèi,bì
背	bèi,bēi
胏	zǐ,fèi
胐	fěi,kū
胓	píng,pēng
胕	fū,fú,zhǒu
胖	pàng,pán,pàn
胳	gē,gé
能	néng,nài
胿	guī,kuì
脉	mò,mài
脏	zāng,zàng
脚	jiǎo,jué
脯	fǔ,pǔ
腌	ā,yān
膀	bǎng,páng
膊	bó,bo
膏	gāo,gào
膔	lù,biāo
膰	fán,pán
膴	hū,wǔ
臂	bì,bei
臈	là,gé
臑	ér,nào
臒	wò,yuè
臡	ní,luán
臤	qiān,xián
臦	guàng,jiǒng
臧	zāng,zàng,cáng
臩	guǎng,jiǒng
臭	chòu,xiù
臱	mián,biān
臷	dié,zhí
臸	zhī,jìn
舍	shě,shè
色	sè,shǎi
艾	yì,ài
节	jié,jiē
芆	chāi,chā
芐	hù,xià
芓	zì,zǐ
芔	huì,hū
芘	bì,pí
芚	tún,chūn
芥	jiè,gài
芧	xù,zhù
芫	yuán,yán
芯	xīn,xìn
芲	lún,huā
芴	wù,hū
芼	máo,mào
芾	fèi,fú
苂	chán,yín
苏	sū,sù
苐	dì,tí
苔	tái,tāi
苕	tiáo,sháo
苙	lì,jī
苛	kē,hē
苣	jù,qǔ
若	ruò,rě
苧	zhù,níng
苩	pā,bó
苫	shān,shàn
苲	zuó,zhǎ
苴	jū,chá
苹	píng,pēng
苼	shēng,ruí
茄	jiā,qié
荨	qián,xún
荫	yīn,yìn
莎	suō,shā
莑	péng,fēng
莘	shēn,xīn
莞	guān,guǎn,wǎn
莤	sù,yóu
莦	shāo,xiāo
莨	làng,liáng
莩	fú,piǎo
莫	mò,mù
莬	wèn,wǎn,miǎn
莳	shí,shì
莵	tù,tú
莶	xiān,liǎn
菀	wǎn,yùn
菆	cuán,zōu
菌	jūn,jùn
菍	niè,rěn
菑	zī,zì,zāi
菟	tù,tú
菬	qiáo,zhǎo
菭	tái,zhī,chí
菲	fēi,fěi
菳	qín,qīn,jīn
落	luò,lào,là
著	zhù,zhe,zhúo
葚	shèn,rèn
葛	gé,gě
蒉	kuì,kuài
蒘	rú,ná
蒙	mēng,méng,měng
蒝	yuán,huán
蒣	xú,shú
蒩	zū,jù
蒵	xí,xì
蓃	sōu,sǒu
蓋	gài,gě,hé
蓔	yǎo,zhuó
蓲	qiū,xū,fū
蓻	zí,jú
蓼	liǎo,lù
蔓	màn,wàn
薂	xí,xiào
薄	báo,bó,bò
薍	wàn,luàn
薧	hāo,kǎo
薳	yuǎn,wěi
薶	mái,wō
藇	xù,yù,xū
藉	jiè,jí
藏	cáng,zàng
藥	yào,yuè
藱	huì,huí
藸	zhū,chú
虹	hóng,jiàng
虾	há,xiā
蚂	mǎ,mā,mà
蚄	fāng,bàng
蚌	bàng,bèng
蚔	qí,zhǐ
蚖	yuán,wán
蚗	jué,quē
蚙	qín,qián
蚣	gōng,zhōng
蚥	fù,fǔ
蚮	dài,dé
蚼	gǒu,qú,xù
蚾	pí,bǒ
蛇	shé,yí
蛒	gé,luò
蛖	máng,bàng
蛡	yì,xǔ
蛤	gé,há
蛪	qiè,ní
蛾	é,yǐ
蜇	zhē,zhé
螇	xī,qī
螕	bī,pí
螚	nài,něng
螛	hé,xiá
螝	guì,huǐ
螲	dié,zhì
螶	qú,jù
螹	chán,jiàn
蟆	má,mò
蟒	mǎng,měng
蟞	biē,bié
蠡	lí,lǐ
血	xuè,xiě
行	xíng,háng,hàng,héng
袉	tuó,tuō
袊	lǐng,líng
袌	bào,páo,pào
袓	jù,jiē
袔	hè,kè
袘	yí,yì
袦	nà,jué
被	bèi,pī
袲	chǐ,nuǒ
袳	chǐ,qǐ,duǒ,nuǒ
袸	jiàn,zùn
袹	bó,mò
裂	liè,liě
裎	chéng,chěng
裓	gé,jiē
裨	bì,pí
裯	chóu,dāo
裳	cháng,shang
裷	yuān,gǔn
裺	yǎn,ān
裼	xī,tì
褪	tuì,tùn
要	yào,yāo
覃	tán,qín
覌	guān,guàn
覐	jué,jiào
覕	piē,miè
覚	jué,jiào
覮	yíng,yǐng
覰	qū,qù
覱	zhàn,zhān
観	guān,guàn
覵	jiàn,biǎn
覶	luó,luǎn
见	jiàn,xiàn
观	guān,guàn
觉	jué,jiào
觑	qù,qū
角	jiǎo,jué
觜	zī,zuǐ
觟	huà,xiè
解	jiě,jiè,xiè
觧	jiě,jiè,xiè
誂	tiǎo,diào
誃	yí,chǐ,chì
誏	lǎng,làng
誖	bèi,bó
說	shuō,shuì,yuè
説	shuō,shuì,yuè
誰	shuí,shéi
誳	qū,juè
誺	chī,lài
誽	nì,ná
諀	pǐ,bēi
諅	jì,jī
諎	zé,zuò,zhǎ,cuò
諔	chù,jí
諕	xià,háo
諟	shì,dì
諣	huà,guā
諰	xǐ,shāi,āi
諵	nán,nàn
讉	yí,tuī
许	xǔ,hǔ
论	lùn,lún
识	shí,zhì
诒	yí,dài
诘	jié,jí
详	xiáng,yáng
语	yǔ,yù
说	shuō,shuì,yuè
诶	ēi,éi,ěi,èi,xī
读	dú,dòu
调	tiáo,diào,zhōu
谷	gǔ,yù
豁	huō,huò
豣	jiān,yàn
貆	huán,huān
貇	kěn,kūn
貈	hé,mò
貉	hé,háo,mò
貒	tuān,tuàn
貓	māo,máo
貗	jù,lóu
貤	yí,yì
賯	xiōng,mín
趃	dié,tú
趄	qiè,jū
趋	qū,cù
趌	jí,jié
趏	guā,huó
趞	què,qì,jí
趟	tàng,tāng
趣	qù,cù
趵	bào,bō
趶	kuà,wù
趹	jué,guì
趽	fāng,fàng,páng
跁	bà,páo
跂	qí,qì
跄	qiāng,qiàng
跈	jiàn,chén
跐	cī,cǐ
跑	pǎo,páo
跘	pán,bàn
跙	jū,jù,qiè
跞	lì,luò
跢	dài,duò,duō,chí
跰	pián,bèng
跳	tiào,táo
跾	shū,chōu
踉	liáng,liàng
踏	tā,tà
踡	juǎn,quán
踦	qī,yǐ
蹊	qī,xī
蹓	liū,liù
蹢	dí,zhí
軐	xìn,xiàn
軓	fàn,guǐ
転	zhuàn,zhuǎn
軪	āo,ào
轘	huán,huàn
车	chē,jū
轧	gá,yà,zhá
转	zhuǎn,zhuàn
轴	zhóu,zhòu
载	zǎi,zài
辗	zhǎn,niǎn
辟	bì,pì
辺	dào,biān
过	guò,guo,guō
迋	wàng,kuāng
还	huán,hái
这	zhè,zhèi
远	yuǎn,yuàn
迣	zhì,lì
迤	yǐ,yí
迫	pò,pǎi
迬	zhù,wǎng
迱	yǐ,yí
追	zhuī,duī
通	tōng,tòng
逮	dǎi,dài
遂	suí,suì
遗	wèi,yí
遛	iiú,liù
邟	kàng,háng
那	nà,nǎ,nèi,nā
邪	xié,yá,yé,yú,xú
郂	gāi,hái
郄	qiè,xì
郇	xún,huán
郎	láng,làng
郦	lì,zhí
郩	xiáo,ǎo
都	dū,dōu
酦	fā,pō
醈	tán,dàn
醍	tí,tǐ
醔	qiú,chōu
醗	pō,fā
醦	chǎn,chěn
醶	yàn,liǎn,xiān
采	cǎi,cài
重	zhòng,chóng
量	liáng,liàng
釐	lí,xǐ,xī
釥	qiǎo,jiǎo
釪	huá,yú
釫	huá,wū
釰	rì,rèn,jiàn
釶	shī,yí
釼	rì,rèn,jiàn
釽	pī,zhāo
銄	xiǎng,jiōng
銉	yù,sì
銊	xù,huì
銋	rén,rěn
銏	shàn,shuò
銐	chì,lì
銗	hóu,xiàng
銴	shì,zhì
銸	zhé,niè
銽	xiān,kuò,tiǎn,guā
銾	hòng,gǒng
銿	zhōng,yōng
鋀	tōu,tù,dòu
鋂	méi,méng
鋄	wàn,jiǎn
鋑	juān,jiān,cuān
鋖	sī,tuó
鋗	xuān,juān,juàn
鋘	huá,wú,wū
鋞	xíng,xìng,jīng
鋷	zuì,niè
鋺	yuǎn,yuān,wǎn,wān
鋻	jiān,jiàn
錞	chún,duì
鎉	dā,tà
鎍	suǒ,sè
鎐	yáo,zú
鎑	yè,tà,gé
鎗	qiāng,chēng
鎘	gé,lì
鎞	bī,bì,pī
鎦	liú,liù
鎫	wàn,jiǎn
鏅	xiū,xiù
鏉	shòu,sōu
鏒	sǎn,qiāo,càn
鏕	lù,áo
鏩	jiàn,zàn
鏸	huì,suì,ruì
鏾	sǎn,xiàn,sà
钉	dīng,dìng
钌	liǎo,liào
钐	shān,shàn
钑	sà,xì
钢	gāng,gàng
钥	yuè,yào
钯	bǎ,pá
钲	zhēng,zhèng
钻	zuān,zuàn
钿	diàn,tián
铅	qiān,yán
铊	tā,tuó
铍	pí,pī
铛	chēng,dāng
铺	pū,pù
铻	wú,yǔ
镏	liú,liù
长	cháng,zhǎng
閄	huò,shǎn
閒	xián,jiān,jiàn
間	jiān,jiàn
閕	xiā,xiǎ
閛	pēng,pèng
閜	xiǎ,kě
閞	biàn,guān
閤	hé,gé
閧	hòng,xiàng
閮	tíng,tǐng
闂	hòng,juǎn,xiàng
闆	bǎn,pàn
闛	táng,tāng,chāng
闟	xì,sè,tà
闣	dāng,dàng
闬	hàn,bì
间	jiān,jiàn
闶	kàng,kāng
闷	mèn,mēn
阇	dū,shé
阙	quē,què
阿	ā,ē
隁	yàn,yǎn
隃	yú,yáo,shù
隋	suí,duò
隐	yǐn,yìn
隓	huī,duò
隗	wěi,kuí
隠	yǐn,yìn
隳	huī,duò
隶	lì,dài
隷	lì,dài
隹	zhuī,cuī,wéi
隺	hú,hè
隽	jùn,juàn
难	nán,nàn,nuó
雀	què,qiāo,qiǎo
雋	jùn,juàn
雟	guī,xī
難	nán,nàn,nuó
雨	yǔ,yù
雭	sè,xí
雺	wù,méng
雽	hū,hù
露	lù,lòu
靓	jìng,liàng
靚	jìng,liàng
靡	mí,mǐ
革	gé,jí
鞅	yāng,yàng
鞈	gé,tà,sǎ
鞊	jié,jí
鞔	mán,mèn
鞕	biān,yìng
鞘	qiào,shāo
鞙	xuān,juān
鞢	xiè,dié
鞪	mù,móu
鞰	wēn,yùn
鞸	bì,bǐng
韎	mèi,wà
韘	shè,xiè
韫	yùn,wēn
颈	jǐng,gěng
颉	jié,xié,jiá
颌	hé,gé
频	pín,bīn
颤	chàn,zhàn
颰	bá,fú
颾	sāo,sōu
风	fēng,fěng
食	shí,sì,yì
飬	yǎng,juǎn
飮	yǐn,yìn
飳	zhù,tǒu
飵	zuò,zé,zhā
饹	gē,le
馏	liù,liú
馕	náng,nǎng
馧	yūn,wò
馯	hàn,hán
馲	tuō,zhé
馶	zhī,shì
馸	xìn,jìn
馾	dǎn,dàn
駃	jué,kuài
駄	tuó,duò
駨	xún,xuān
骚	sāo,sǎo
骠	piào,biāo
骨	gǔ,gū
骳	bèi,mó
