# 现代常用多音字读音表，用于手写反查时的读音标注。
# 数据来源：https://github.com/mapull/chinese-dictionary (MIT License) character/polyphone.json
# 仅保留字符与读音，U+0261 已规范化为普通 g。格式：汉字<TAB>读音1,读音2,...
丁	dīng,zhēng
呙	wāi,hé,wǒ,wā,guǎ,guō
呚	huá,qì
呛	qiāng,qiàng
呡	wěn,mǐn
呢	ní,ne
呮	qì,zhī
呱	guā,gū,guǎ
呲	zī,cī
呴	xǔ,hǒu,gòu
呵	hē,kē
呺	xiāo,háo
呾	dá,dàn
咀	jǔ,zuǐ
咁	xián,gān
咊	hé,hè
咋	zhà,zǎ,zhā
和	hé,hè,huó,huò,hú
咖	kā,gā
咞	xiàn,xián
咥	dié,xì
咧	liě,liē,lié,lie
咭	jī,xī,qià
咯	kǎ,luò,lo,gē
咰	shù,xún
咱	zán,zá,zǎ
咳	ké,hāi
咹	è,àn
咺	xuǎn,xuān
咽	yān,yàn,yè
哄	hōng,hǒng,hòng
哇	wā,wa
哈	hā,hǎ,hà
哋	diè,dì
哏	gén,hěn
哑	yǎ,yā
哕	yuě,huì
哗	huá,huā
哜	jì,jiē,zhāi
哟	yō,yo
哦	ó,ò,é
哩	li,lǐ,lī
哪	nǎ,něi,nBné
哱	pò,bā,bō
哴	liàng,láng
哷	liè,lǜ
哼	hēng,hng
哾	chuò,yuè
哿	gě,jiā
唄	bei,bài
唅	hán,hàn
唉	āi,ài
唊	jiá,qiǎn
唋	tǔ,tù
唌	dàn,xián,yán
唔	wù,wú,ńg,ń
唝	gòng,hǒng,gǒng
唠	lào,láo
唩	wō,wěi
唬	hǔ,xià
唲	ér,wā
啁	zhōu,zhāo,tiào
啅	zhuó,zhào
啉	lán,lín
啊	ā,á,ǎ,à,a
啍	zhūn,tūn,xiāng,duǐ
啐	cuì,qi
啑	shà,tì
啚	bǐ,tú
啜	chuò,chuài
啨	qíng,yīng
啫	zé,shì
啰	luō,luó,luo
啽	ān,án
喋	dié,zhá
喏	nuò,rě
喐	huò,guó,xù
喒	zán,zbn
喔	ō,wō
喛	huàn,yuán,xuǎn,hé
喝	hē,hè,yè
喠	zhǒng,chuáng
喡	wéi,wèi
喥	duó,zhà
喯	pèn,bēn
喰	cān,sūn,qī
喳	zhā,chā
喷	pēn,pèn
喽	lóu,lou
喿	zào,qiāo
嗃	hè,xiāo,xiào,hù
嗄	shà,á
嗊	gòng,hǒng,gǒng
嗌	yì,ài
嗑	kē,kè
嗒	tà,dā
嗗	wā,gǔ
嗛	qiān,qiǎn,xián
嗨	hāi,hēi
嗯	ńg,ňg,ńg
嗳	ǎi,ài,āi
嗺	zuī,suī
嗻	zhē,zhè
嘄	jiào,dǎo
嘅	kǎi,gě
嘇	shān,càn
嘎	gā,gá,gǎ
嘘	xū,shī
嘚	dē,dēi
嘛	má,ma
嘞	lei,lē
嘠	gā,gá,gǎ
嘲	cháo,zhāo
嘺	qiáo,qiào
嘼	chù,xù,shòu
嘽	tān,chǎn
嘾	dàn,tán
嘿	hēi,mò
噃	fān,bo
噈	cù,zā,hé
噋	tūn,kuò
噌	cēng,chēng
噓	xū,shī
噰	yōng,yǒng
噱	jué,xué
噷	xīn,hěn,hèn
嚄	huō,huò
嚇	hè,xià
嚷	rǎng,rāng
嚸	diǎn,dím
嚼	jiáo,jué,jiào
囃	zá,cà
囋	zá,zàn
囖	luó,luō,luo
囗	wéi,guó
囝	jiǎn,nān
囤	dùn,tún
囲	wéi,tōng
圈	quān,juàn,juān
圏	quān,juàn,juān
圜	huán,yuán
圩	wéi,xū
圫	yù,zhūn
地	dì,de
圱	qiān,sú
场	cháng,chǎng
圻	qí,yín
坁	zhǐ,zhì
坆	méi,fén
坈	rǒng,kēng
坉	tún,dùn
坊	fāng,fáng
坋	bèn,fèn
坏	huài,pēi,pī,péi
坔	dì,làn
坢	pǎn,bàn
坶	mù,mǔ
坷	kē,kě
坻	dǐ,chí
垌	dòng,tóng
垛	duǒ,duò
垜	duǒ,duò
垺	póu,fú
埄	běng,fēng
埅	dì,fáng
埉	xiá,jiā
埋	mái,mán
埏	yán,shān
埐	qín,jīn
埔	pǔ,bù
埣	suì,sù
埤	pí,pì
埥	qīng,zhēng
埦	wǎn,wān
埩	zhēng,chéng
埫	chǒng,shǎng
埮	tán,tàn
埰	cǎi,cài
埱	chù,tòu
埳	xiàn,kǎn
埶	yì,shì
堋	péng,bèng
堑	qiàn,zàn,jiàn
堕	duò,huī
堡	bǎo,bǔ,pù
堥	máo,móu,wǔ
堨	è,ài,yè
塞	sāi,sài,sè
填	tián,zhèn
塲	cháng,chǎng
塸	ōu,qiū
塹	qiàn,zàn,jiàn
塼	zhuān,tuán
墆	zhì,dì
墌	zhǐ,zhuó
墤	kuài,tuí
墥	tuǎn,dǒng
墧	qiáo,què
墮	duò,huī
墽	qiāo,áo
墿	yì,tú
壆	xué,bó,jué
壳	ké,qiào
夂	zhǐ,zhōng
夃	gǔ,yíng
处	chǔ,chù
夅	jiàng,xiáng
夆	féng,fēng,páng
夗	yuàn,wǎn,wān,yuān
夘	mǎo,wǎn
大	dà,dài,tài
夫	fū,fú
夯	hāng,bèn
夲	tāo,běn
头	tóu,tou
夵	yǎn,tāo
夸	kuā,kuà
夹	jiā,jiá,gā,xiá
奃	dī,tì
奄	yǎn,yān
奇	qí,jī
奍	quān,juàn
契	qì,qiè,xiè
奓	zhā,zhà
奔	bēn,bèn
奘	zàng,zhuǎng
奞	xùn,zhuì
奥	ào,yù
奧	ào,yù
女	nǚ,rǔ
奵	dǐng,dīng,tiǎn
她	tā,jiě
好	hǎo,hào
妃	fēi,pèi
妋	fū,yōu
妎	hài,jiè
妔	kēng,háng
妚	fǒu,pēi,pī
妜	yuè,jué
妠	nà,nàn
妧	wàn,yuán
妳	nǐ,nǎi
妶	xián,xuán,xù
妷	zhí,yì
妻	qī,qì
姇	fū,fú
姍	shān,shàn
委	wěi,wēi
姗	shān,shàn
姡	huá,huó
姣	jiāo,xiáo
姤	gòu,dù
姥	mǔ,lǎo
姩	nián,niàn
姰	jūn,xún
姱	kuā,hù
姶	è,yà
姺	shēn,xiān
娆	ráo,rǎo
娋	shào,shāo
娍	chéng,shèng
娒	wǔ,mǔ
娕	chuò,lài
娜	nà,nuó
娝	pōu,bǐ
娞	něi,suī
娪	wú,wù,yú
娭	xī,āi
娷	zhuì,shuì
娻	dōng,dòng
娾	ǎi,ái,è
娿	ē,ě
婄	pǒu,péi,bù
婏	fù,fàn
婗	ní,nǐ
婘	quán,juàn
婜	qiān,jǐn
婡	lái,lài
婤	zhōu,chōu
婥	chuò,nào
婩	àn,n
婫	hùn,kūn
婸	dàng,yáng
婼	chuò,ruò
婾	tōu,yú
媀	yù,yú
媁	wéi,wěi
媂	dì,tí
媆	ruǎn,nèn
媐	yí,pèi
媔	mián,miǎn
媛	yuàn,yuán
媠	tuó,duò
媪	ǎo,yùn,wò
媮	tōu,yú
媰	chú,zòu
媼	ǎo,yùn,wò
嫀	qín,shēn
嫃	zhēn,zhěn
嫅	jiē,suǒ
嫇	míng,mǐng
嫖	piáo,piāo
嫚	mān,màn
嫤	jǐn,jìn
嫨	hān,nǎn
嫲	mā,má
嬐	xiān,yǎn,jìn
嬛	huán,xuān,qióng
孅	xiān,qiān
孉	huān,quán
孋	lí,lì
孎	zhú,chuò
孖	zī,mā,mā
孙	sūn,xùn
孱	chán,càn
宁	níng,nìng
宊	tū,jiā
宓	mì,fú
宛	wǎn,yuān
宲	bǎo,shí
家	jiā,jia
宺	huāng,huǎng
宿	sù,xiǔ,xiù
寀	cǎi,cài
寍	níng,nìng
寎	bǐng,bìng
寕	níng,nìng
寖	jìn,qǐn
寗	níng,nìng
寜	níng,nìng
寠	jù,lóu
寧	níng,nìng
寫	xiě,xiè
寴	qīn,qìn
寽	l&lt,èluó
射	shè,yè,yì
尅	kēi,kè
将	jiāng,jiàng
尉	wèi,yù
尌	shù,zhù
尐	jié,jí
少	shǎo,shào
尨	lóng,máng,méng,páng
尯	kuì,kuǐ
尺	chǐ,chě
尽	jìn,jǐn
尾	wěi,yǐ
尿	niào,suī
屏	píng,bǐng
屛	pǐng,bǐng
属	shǔ,zhǔ
屟	xiè,tì
屮	chè,cǎo
屯	tún,zhūn
屰	nì,jǐ
屸	hóng,lóng
屽	hàn,àn
岂	qǐ,kǎi
岨	jū,jǔ
岭	lǐng,líng
峇	kè,bā
峊	fù,niè
峒	tóng,dòng
峙	zhì,shì
峤	jiào,qiáo
峫	xié,yé
崠	dōng,dòng
崥	pí,bǐ
崭	zhǎn,chán
崴	wǎi,wēi
崵	yáng,dàng
崻	zhì,shì
崼	shì,dié
嵌	qiàn,kàn
嵍	wù,máo
嵑	kě,jié
嵔	wēi,wěi
嵣	dàng,táng
嵤	róng,yíng
嵦	kǎi,ái
嵪	kāo,qiāo
嵰	qīn,qiǎn
嵽	dié,dì
嶃	zhǎn,chán
嶅	áo,ào
嶏	pǐ,pèi
嶡	jué,guì
嶦	zhān,shàn
嶱	kě,jié
嶲	guī,xī,juàn
巁	lì,liè
巂	xī,xī
巆	yíng,hōng
巠	jīng,xíng
差	chà,chā,chāi,cī
巷	xiàng,hàng
巻	juàn,juǎn
帑	tǎng,nú
帓	mò,wà
帖	tiè,tiě,tiē
帣	juǎn,juàn
帱	chóu,dào
帴	jiǎn,jiān,sàn
帹	shà,qiè
帺	qí,jì
幓	shān,qiāo,shēn
幝	chǎn,chàn
幢	chuáng,zhuàng
幨	chān,chàn
干	gān,gàn
并	bìng,bīng
幷	bìng,bīng
幾	jī,jǐ
广	guǎng,ān
庅	me,mó
庉	dùn,tún
庍	bài,tīng
应	yīng,yìng
底	dǐ,de
度	dù,duó
庬	máng,méng,páng
庰	bìng,píng
庴	jī,cuò
廆	guī,huì,wěi
廈	shà,xià
廑	jǐn,qín
廧	qiáng,sè
廴	yǐn,yìn
廹	pò,pǎi
弄	nòng,lòng
弟	dì,tì,tuí
弡	jué,zhāng
弥	mí,mǐ
弮	juàn,quān
弲	xuān,yuān
強	qiáng,qiǎng,jiàng
弹	dàn,tán
强	qiáng,qiǎng,jiàng
弾	dàn,tán
彊	qiáng,qiǎng,jiàng
当	dāng,dàng
彡	shān,xiǎn
彭	péng,bāng
彯	piāo,piào
彴	zhuó,bó
彵	tuǒ,yí
彷	páng,fǎng
待	dài,dāi
徍	wàng,jiā,wā
徎	chěng,zhèng
徕	lài,lái
得	dé,děi,de
徥	shì,tǐ
徦	jiǎ,xiá
徲	tí,chí
徴	zhǐ,zhēng
徸	zhǒng,chōng
徺	jiǎo,yáo
徼	jiǎo,jiào
徿	lòng,lǒng
忂	qú,jù
忊	dìng,tìng
忒	tè,tuī
忓	gān,hàn
忔	yì,qì
忕	shì,tài
忚	xī,liě
応	yīng,yìng
忞	mǐn,wěn,mín
忟	mǐn,wěn,mín
忪	sōng,zhōng
忬	yù,shū
忯	qí,shì
忳	tún,zhūn,dùn
忴	qián,qín
忹	kuáng,wǎng
忼	kāng,hàng
忾	kài,xì
怉	bǎo,bào
怋	mín,mén
怍	zuò,zhà
怐	kòu,jù
怓	náo,niú
怘	hù,gù
怚	cū,jù,zū
思	sī,sāi
怞	yóu,chóu
怢	tū,dié
怮	yōu,yào
怴	xù,xuè
怶	bì,pī
怸	xī,shù
恁	nèn,nín
恌	tiāo,yáo
恓	xī,qī,xù
恔	xiào,jiǎo
恗	hū,kuā
恮	quán,zhuān
恶	è,wù,ě,wū
悂	pī,pǐ
悄	qiǎo,qiāo
悆	yù,shū
悈	jiè,kè
悗	mán,mèn
悘	yī,yì
悙	hēng,hèng
悝	kuī,lǐ
悥	yì,niàn
悾	kōng,kǒng
惀	lǔn,lùn
惌	yuān,wǎn
惏	lán,lín
惒	hé,hè
惔	tán,dàn
惢	suǒ,ruǐ
惮	dàn,dá
惿	tí,shì
愉	yú,tōu
愒	qì,kài
愓	dàng,shāng,táng,yáng
愖	chén,xìn,dān
愘	kè,qià
愡	còng,sōng
愢	sāi,sī,sǐ
愩	gōng,gòng,hǒng
愬	sù,shuò
愮	yáo,yào
慀	xì,xié
慉	xù,chù
慊	qiàn,qiè
慐	gōng,gòng,hǒng
慒	cáo,cóng
慠	ào,áo
慩	lián,liǎn
慬	qín,jìn,jǐn
慸	dì,chì
慹	zhí,zhé
慺	lóu,lǚ
憄	zhī,zhì
